Premium Fruitshakes,,,,Milkshakes,,,,Pasta,Price,For Davao Branch Price,,Pica Pica,Price,,,,,,,Rice Meals,Price,
Flavors,Petite (12 oz),Grande (22 oz),,Flavors,Petite (12 oz),Grande (22 oz),,Creamy Carbonara,185,,,Cheese Sticks,165,,,,,,,Creamy Beef with Mushroom,185,
,Price,Price,,,Price,Price,,Classic Pesto,185,,,Nachos Cheese,195,,,,,,,Beef Tapa,185,
Avocado,145,175,,Chocolate Kisses,145,175,,Spaghetti with Meatballs,185,,,Nachos Beef in White Sauce,245,,,,,,,Chicken ala King,185,
Mango,145,175,,Oreo Milo,145,175,,Cream Black Truffle,205,,,Nachos Overload,265,,,,,,,Steak Burger Au Jus,185,
Avo-Mango Combo,165,195,,Cookies and Cream,145,175,,Wild Specialty Spaghetti,195,,,,,,,,,,,Swedish Meatballs,185,
Blueberry Creamcheese,165,195,,Strawberry,145,175,,Aglio e Olio,195,205,,Quesadilla,,,,,,,,Savory Chicken Wings,185,
Strawberry Creamcheese,165,195,,Salted Caramel,145,175,,Baked Mac,215,,,                         Beef,190,,,,,,,Beef Salpicao,185,
Durian,165,195,,Matcha,145,175,,Lasagna,245,255,,                         Mixed Cheese,170,,,,,,,Extra Rice,35,
Buko,145,175,,Coffee Crumble,145,175,,,,,,                         Salpicao,190,,,,,,,,,
Ube with Cheese,165,195,,Dark Mocha,145,175,,,,,,,,,,,,,,,,
Matcha Strawberry,165,195,,Matcha Oreo,165,195,,Chicken Wings,Price,,,,,,,,,,,Premium Specialty Coffee,,
Melon,145,175,,Cappuccino,145,175,,Buffalo Wings with Fries,210,,,,,,,,,,,Menu,HOT,ICED
Chocolate Strawberry,165,195,,,,,,Soy Garlic Wings with Fries,210,,,Burger and Fries,Price,For Davao Branch Price,,,,,,,,
Guyabano,145,175,,,,,,Garlic Parmesan Wings with Fries,210,,,Beef Burger,135,,,,,,,Americano,120,140
Peach Mango,165,195,,,,,,Honey Sriracha Wings with Fries,210,,,Beef Burger with Fries,165,175,,,,,,Cafe Latte,150,160
Green Apple and Kiwi,165,195,,,,,,BBQ Wings with Fries,210,,,Crispy Chicken Burger,135,,,,,,,Cappuccino,150,160
Salted Mango Caramel,165,195,,,,,,Chicken Poppers ,210,,,Crispy Chicken Burger with Fries,150,160,,,,,,Spanish Latte,155,165
Buko Pandan,165,195,,,,,,Chicken Wings Solo (Any Flavor),180,,,Fries Solo,110,,,,,,,White Chocolate Mocha,155,165
Watermelon,165,195,,,,,,,,,,Fries Large,150,,,,,,,Dark Chocolate Mocha,155,165
,,,,,,,,Fries Flavors,,,,Fries with Cheesy Beef,175,,,,,,,Matcha Espresso Fusion,170,180
,,,,,,,,Cheese ,,,,,,,,,,,,Matcha Latte,155,165
,,,,,,,,BBQ,,,,,,,,,,,,Vanilla Latte,155,165
,,,,,,,,Sour Cream,,,,,,,,,,,,Caramel Latte,155,165
,,,,,,,,,,,,Tortilla Pizza,Price,,,,,,,Caramel Macchiato,170,180
,,,,,,,,,,,,Triple Cheese Pizza,200,,,,,,,Hazelnut,155,165
,,,,,,,,,,,,Classic Meat Pizza,240,,,,,,,,,
,,,,,,,,,,,,Creamy Spinach Dip Pizza,250,,,,,,,,,
,,,,,,,,,,,,Cream Black Truffle Pizza,250,,,,,,,,,
