,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASTA,,,,,,,,Burger with Fries,,,,,,,Pica Pica,,,,,,,Pizza,,,,Wings with Fries,,,,,,,Rice Meals,,,,,,,,,,,Party Trays Small,,,,,,,,,,,,,Party Trays Large,,,,,,,,,,,,
Items,Grams / Pc,Carbonara,Classic Pesto,Cream Black Truffle,Aglio e Olio,Spaghetti with meatballs,Wild Spaghetti,Baked Mac,Lasagna,Fries Solo,Fries Large,Beef Burger Solo,Burger With Fries,Crispy Chicken Burger,Crispy Chicken Burger w/ Fries,Fries W/ Cheesy Beef,Cheese Sticks,Nachos Cheese,Nachos Overload,Nachos in White Sauce,Quesadilla Beef,Quesadilla Mixed Cheese,Quesadilla Salpicao,Classic Meat Pizza,Creamy Spinach Pizza,Truffle Pizza,Triple Cheese Pizza,Buffalo Wings,Soy Garlic Wings,Honey Sriracha Wings,BBQ Wings,Garlic Pamesan Wings,Wings Solo,Chicken Poppers,Buffalo Wings,Soy Garlic Wings,Honey Sriracha Wings,BBQ Wings,Garlic Pamesan Wings,Creamy Beef with Mushroom,Beef Tapa,Chicken Ala King,Steak Burger Au Jus,Swedish Meatballs,Beef Salpicao,Carbonara,Classic Pesto,Cream Black Truffle,Aglio e Olio,Spaghetti with meatballs,Wild Spaghetti,Baked Mac,Lasagna,Buffalo Wings,Soy Garlic Wings,Honey Sriracha Wings,BBQ Wings,Garlic Pamesan Wings,Carbonara,Classic Pesto,Cream Black Truffle,Aglio e Olio,Spaghetti with meatballs,Wild Spaghetti,Baked Mac,Lasagna,Buffalo Wings,Soy Garlic Wings,Honey Sriracha Wings,BBQ Wings,Garlic Pamesan Wings
Butter,225,30.2,,15.1,,,,15.1,15.1,,,,,,,,,,,5,,,,,47,15.1,,,,,,30,,,5,5,5,5,35,5,5,57,25,5,5,90.6,,45.3,,,,45.3,45.3,,,,,90,151,,75.5,,,,75.5,75.5,,,,,150
Onion,1000,26.5,26.5,26.5,,,,,,,,,,,,,,,,16.4,,,,,16.4,26.5,,,,,,,,,,,,,,,,,20,,,79.5,79.5,79.5,,,,,,,,,,,132.5,132.5,132.5,,,,,,,,,,
Ham,250,18.6,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,55.8,,,,,,,,,,,,93,93,,,,,,,,,,,
Ground Chicken Portion,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,5,5,,,,,,,,,,,
#0 Milk,410,64.6,,,,,47.03,160,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,193.8,,,,,141.09,480,720,,,,,,323,,,,,235.15,800,1200,,,,,
Wc,370,37.5,37.5,37.5,,,,37.5,37.5,,,,,,,,,,,64.9,,,,,64.9,37.5,,,,,,,,,,,,,,,,50,52,,,112.5,112.5,112.5,,,,112.5,112.5,,,,,,187.5,187.5,187.5,,,,187.5,187.5,,,,,
Mushroom,230,16.4,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,49.2,49.2,,,,,,,,,,,,82,82,,,,,,,,,,,
Spaghetti Pasta Portion,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,5,5,5,5,5,5,,,,,,,
Olive Oil,1000,,19.5,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,,127.5,,,,,,,,,,,97.5,,212.5,0,,,,,,,,
Pesto Sauce,520,,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9,,,,,,,,,,,,,176.5,,,,,,,,,,,
Truffle Sauce,500,,,35.3,,,,,,,,,,,,,,,,,,,,,,35.3,,,,,,,,,,,,,,,,,,,,,,105.9,,,,,,,,,,,,,176.5,,,,,,,,,,
Shrimp,1000,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.2,,,,,,,,,,,,,142,,,,,,,,,
